customer_id,customer_name,segment
JH-159851,Joseph Holt,Consumer
EM-141402,Eugene Moren,Home Office
TB-112801,Toby Braunhardt,Consumer
AT-7352,Annie Thurman,Consumer
MM-72602,Magdelene Morse,Consumer
KN-164501,Kean Nguyen,Corporate
NG-83553,Nat Gilpin,Corporate
JO-52801,Jas O'Carroll,Consumer
DD-135702,Dorothy Dickinson,Consumer
KL-166451,Ken Lonsdale,Consumer
SV-207853,Stewart Visinsky,Consumer
LB-167351,Larry Blacks,Consumer
LW-69902,Lindsay Williams,Corporate
DP-133901,Dennis Pardue,Home Office
CM-122351,Chris McAfee,Consumer
JG-51151,Jack Garza,Consumer
AW-109303,Arthur Wiediger,Home Office
RA-199153,Russell Applegate,Consumer
DP-130004,Darren Powers,Consumer
MH-177853,Maya Herman,Corporate
BT-113053,Beth Thompson,Home Office
GT-146352,Grant Thornton,Corporate
JC-53401,Jasper Cacioppo,Consumer
BD-115001,Bradley Drucker,Consumer
AP-109152,Arthur Prichep,Consumer
PO-191954,Phillina Ober,Home Office
SW-204551,Shaun Weien,Consumer
MG-178902,Michael Granlund,Home Office
JH-154303,Jennifer Halladay,Consumer
BH-117101,Brosina Hoffman,Consumer
KM-166601,Khloe Miller,Consumer
SH-203952,Shahid Hopkins,Consumer
MB-180854,Mick Brown,Consumer
RD-196601,Robert Dilbeck,Home Office
GK-46201,Grace Kelly,Corporate
ME-173204,Maria Etezadi,Home Office
DD-135703,Dorothy Dickinson,Consumer
JS-160302,Joy Smith,Consumer
JO-151454,Jack O'Briant,Corporate
SV-107851,Stewart Visinsky,Consumer
DP-131052,Dave Poirier,Corporate
LS-172304,Lycoris Saunders,Consumer
MS-173651,Maribeth Schnelling,Consumer
AB-100601,Adam Bellavance,Home Office
AC-4201,Alyssa Crouse,Corporate
HM-48602,Harry Marie,Corporate
DP-130002,Darren Powers,Consumer
CM-123853,Christopher Martinez,Consumer
NF-185951,Nicole Fjeld,Home Office
VS-218204,Vivek Sundaresam,Consumer
HZ-49501,Henia Zydlo,Consumer
JE-57151,Joe Elijah,Consumer
SC-200501,Sample Company A,Home Office
EB-137051,Ed Braxton,Corporate
AG-102701,Alejandro Grove,Consumer
ER-38552,Elpida Rittenbach,Corporate
MS-178304,Melanie Seite,Consumer
GG-146502,Greg Guthrie,Corporate
RS-94201,Ricardo Sperren,Corporate
TH-112351,Tiffany House,Corporate
BD-116051,Brian Dahlen,Consumer
PM-189403,Paul MacIntyre,Consumer
DL-128651,Dan Lawera,Consumer
SJ-101251,Sanjit Jacobs,Home Office
JR-157003,Jocasta Rupert,Consumer
PO-188651,Patrick O'Donnell,Consumer
DV-134651,Dianna Vittorini,Consumer
DF-131351,David Flashing,Consumer
AJ-107804,Anthony Jacobs,Corporate
TN-210401,Tanja Norvell,Home Office
EM-139602,Eric Murdock,Consumer
RC-198252,Roy Collins,Consumer
SC-206801,Steve Carroll,Home Office
CS-24602,Chuck Sachs,Consumer
PF-191653,Philip Fox,Consumer
MB-180852,Mick Brown,Consumer
SC-104401,Shaun Chance,Corporate
PB-191052,Peter Bühler,Consumer
RP-198552,Roy Phan,Corporate
SV-203654,Seth Vernon,Consumer
AG-107652,Anthony Garverick,Home Office
TS-212053,Thomas Seio,Corporate
SC-208002,Stuart Calhoun,Consumer
