customer_id,customer_name,segment,recency,frequency,monetary,rfm_score,customer_segment
JH-159851,Joseph Holt,Consumer,16,11,4342,555,Champions
EM-141402,Eugene Moren,Home Office,429,6,741,142,At Risk
TB-112801,Toby Braunhardt,Consumer,870,2,710,112,Lost Customers
AT-7352,Annie Thurman,Consumer,70,4,393,421,Potential/Others
MM-72602,Magdelene Morse,Consumer,1460,1,314,111,Lost Customers
KN-164501,Kean Nguyen,Corporate,38,10,8187,455,Champions
NG-83553,Nat Gilpin,Corporate,104,3,1987,323,Potential/Others
JO-52801,Jas O'Carroll,Consumer,20,4,1696,523,Potential/Others
DD-135702,Dorothy Dickinson,Consumer,145,10,6899,355,Loyal Customers
KL-166451,Ken Lonsdale,Consumer,168,5,3364,234,At Risk
SV-207853,Stewart Visinsky,Consumer,23,5,1408,533,Loyal Customers
LB-167351,Larry Blacks,Consumer,573,4,2161,123,Lost Customers
LW-69902,Lindsay Williams,Corporate,15,8,1696,553,Champions
DP-133901,Dennis Pardue,Home Office,134,7,1889,343,Loyal Customers
CM-122351,Chris McAfee,Consumer,45,7,4720,445,Champions
JG-51151,Jack Garza,Consumer,499,5,836,132,At Risk
AW-109303,Arthur Wiediger,Home Office,56,5,1713,433,Loyal Customers
RA-199153,Russell Applegate,Consumer,28,8,7801,555,Champions
DP-130004,Darren Powers,Consumer,127,9,1051,352,Loyal Customers
MH-177853,Maya Herman,Corporate,363,7,2017,143,At Risk
BT-113053,Beth Thompson,Home Office,94,8,2443,343,Loyal Customers
GT-146352,Grant Thornton,Corporate,66,8,3599,454,Champions
JC-53401,Jasper Cacioppo,Consumer,143,5,427,331,Loyal Customers
BD-115001,Bradley Drucker,Consumer,89,6,3761,334,Loyal Customers
AP-109152,Arthur Prichep,Consumer,132,6,1435,333,Loyal Customers
PO-191954,Phillina Ober,Home Office,87,5,1057,332,Loyal Customers
SW-204551,Shaun Weien,Consumer,66,5,1665,433,Loyal Customers
MG-178902,Michael Granlund,Home Office,6,9,2846,554,Champions
JH-154303,Jennifer Halladay,Consumer,42,12,6387,455,Champions
BH-117101,Brosina Hoffman,Consumer,29,4,2412,523,Potential/Others
KM-166601,Khloe Miller,Consumer,49,12,6362,455,Champions
SH-203952,Shahid Hopkins,Consumer,131,8,3278,354,Loyal Customers
MB-180854,Mick Brown,Consumer,45,7,1429,443,Champions
RD-196601,Robert Dilbeck,Home Office,94,7,4068,344,Loyal Customers
GK-46201,Grace Kelly,Corporate,629,3,649,122,Lost Customers
ME-173204,Maria Etezadi,Home Office,43,10,10665,455,Champions
